x(1,30) = 7 
x(2,13) = 5 
x(3,31) = 5 
x(4,3) = 4 
x(5,29) = 9 
x(6,31) = 7 
x(7,38) = 9 
x(8,28) = 6 
x(9,16) = 7 
x(10,30) = 9 
x(11,28) = 5 
x(12,3) = 1 
x(13,3) = 8 
x(14,29) = 9 
x(15,21) = 4 
x(16,27) = 4 
x(17,1) = 7 
x(18,24) = 9 
x(19,10) = 9 
x(20,33) = 3 
x(21,7) = 7 
x(22,24) = 1 
x(23,18) = 1 
x(24,24) = 4 
x(25,5) = 3 
x(26,26) = 4 
x(27,13) = 4 
x(28,36) = 8 
x(29,36) = 9 
x(30,33) = 7 
x(31,10) = 9 
x(32,15) = 9 
x(33,15) = 3 
x(34,40) = 9 
x(35,28) = 6 
x(36,39) = 9 
x(37,3) = 9 
x(38,18) = 9 
x(39,14) = 1 
x(40,30) = 3 
x(41,32) = 7 
x(42,19) = 6 
x(43,3) = 2 
x(44,21) = 8 
x(45,35) = 7 
x(46,6) = 9 
x(47,12) = 8 
x(48,26) = 5 
x(49,2) = 9 
x(50,38) = 3 
x(51,12) = 2 
x(52,8) = 6 
x(53,14) = 9 
x(54,6) = 6 
x(55,13) = 5 
x(56,1) = 9 
x(57,26) = 6 
x(58,28) = 4 
x(59,5) = 9 
x(60,35) = 6 
x(61,10) = 9 
x(62,11) = 8 
x(63,6) = 9 
x(64,8) = 9 
x(65,32) = 5 
x(66,2) = 3 
x(67,10) = 9 
x(68,33) = 5 
x(69,13) = 2 
x(70,1) = 4 
x(71,34) = 7 
x(72,32) = 1 
x(73,15) = 9 
x(74,26) = 2 
x(75,14) = 8 
x(76,9) = 6 
x(77,26) = 9 
x(78,22) = 9 
x(79,32) = 9 
x(80,19) = 1 
x(81,40) = 5 
x(82,23) = 8 
x(83,18) = 6 
x(84,12) = 0 
x(85,28) = 6 
x(86,21) = 1 
x(87,19) = 8 
x(88,27) = 8 
x(89,5) = 9 
x(90,33) = 6 
x(91,9) = 8 
x(92,40) = 5 
x(93,12) = 9 
x(94,16) = 9 
x(95,6) = 6 
x(96,12) = 2 
x(97,38) = 8 
x(98,4) = 8 
x(99,39) = 5 
x(100,40) = 9 
x(101,1) = 6 
x(102,23) = 6 
x(103,38) = 9 
x(104,9) = 7 
x(105,20) = 3 
x(106,23) = 8 
x(107,39) = 8 
x(108,26) = 7 
x(109,25) = 1 
x(110,10) = 7 
x(111,39) = 9 
x(112,35) = 8 
x(113,33) = 1 
x(114,15) = 8 
x(115,7) = 9 
x(116,19) = 9 
x(117,20) = 2 
x(118,28) = 0 
x(119,37) = 8 
x(120,15) = 3 
x(121,28) = 4 
x(122,7) = 7 
x(123,26) = 1 
x(124,13) = 7 
x(125,29) = 4 
x(126,29) = 9 
x(127,38) = 9 
x(128,18) = 9 
x(129,24) = 1 
x(130,33) = 4 
x(131,9) = 9 
x(132,12) = 9 
x(133,3) = 5 
x(134,29) = 0 
x(135,35) = 9 
x(136,39) = 4 
x(137,7) = 1 
x(138,12) = 7 
x(139,7) = 8 
x(140,14) = 9 
x(141,6) = 8 
x(142,40) = 8 
x(143,30) = 8 
x(144,17) = 9 
x(145,39) = 9 
x(146,2) = 2 
x(147,39) = 9 
x(148,37) = 6 
x(149,3) = 4 
x(150,3) = 8 
x(151,25) = 6 
x(152,9) = 5 
x(153,18) = 6 
x(154,20) = 6 
x(155,29) = 5 
x(156,37) = 9 
x(157,18) = 9 
x(158,31) = 6 
x(159,29) = 3 
x(160,23) = 5 
x(161,13) = 8 
x(162,3) = 7 
x(163,11) = 9 
x(164,23) = 4 
x(165,17) = 9 
x(166,16) = 9 
x(167,21) = 9 
x(168,10) = 1 
x(169,26) = 8 
x(170,28) = 1 
x(171,7) = 6 
x(172,19) = 8 
x(173,19) = 7 
x(174,35) = 9 
x(175,16) = 3 
x(176,27) = 1 
x(177,13) = 7 
x(178,13) = 5 
x(179,35) = 7 
x(180,30) = 7 
x(181,9) = 9 
x(182,9) = 6 
x(183,31) = 0 
x(184,40) = 9 
x(185,26) = 5 
x(186,5) = 9 
x(187,37) = 3 
x(188,31) = 4 
x(189,20) = 5 
x(190,20) = 7 
x(191,29) = 6 
x(192,14) = 1 
x(193,8) = 9 
x(194,1) = 9 
x(195,40) = 5 
x(196,35) = 8 
x(197,16) = 8 
x(198,11) = 6 
x(199,19) = 9 
x(200,25) = 7 
x(201,26) = 8 
x(202,23) = 9 
x(203,35) = 4 
x(204,33) = 2 
x(205,10) = 9 
x(206,15) = 9 
x(207,22) = 8 
x(208,7) = 6 
x(209,18) = 4 
x(210,13) = 3 
x(211,21) = 3 
x(212,11) = 9 
x(213,16) = 2 
x(214,39) = 4 
x(215,3) = 2 
x(216,34) = 7 
x(217,26) = 6 
x(218,5) = 2 
x(219,10) = 5 
x(220,3) = 8 
x(221,17) = 9 
x(222,24) = 9 
x(223,26) = 0 
x(224,4) = 9 
x(225,13) = 0 
x(226,35) = 9 
x(227,36) = 6 
x(228,20) = 9 
x(229,36) = 9 
x(230,22) = 0 
x(231,32) = 6 
x(232,6) = 4 
x(233,33) = 2 
