x(1,7) = 6 
x(2,1) = 4 
x(3,5) = 4 
x(4,9) = 4 
x(5,4) = 2 
x(6,10) = 5 
x(7,1) = 4 
x(8,9) = 7 
x(9,10) = 4 
x(10,6) = 4 
x(11,1) = 8 
x(12,5) = 4 
x(13,7) = 9 
x(14,1) = 9 
x(15,7) = 4 
x(16,7) = 7 
x(17,4) = 4 
x(18,6) = 9 
x(19,9) = 3 
x(20,5) = 5 
x(21,1) = 9 
x(22,10) = 9 
x(23,10) = 4 
x(24,1) = 4 
x(25,9) = 7 
x(26,9) = 7 
x(27,6) = 7 
x(28,2) = 7 
x(29,7) = 8 
x(30,3) = 5 
x(31,9) = 4 
x(32,5) = 3 
x(33,6) = 9 
x(34,8) = 8 
x(35,5) = 6 
x(36,6) = 4 
x(37,6) = 4 
x(38,2) = 9 
x(39,7) = 3 
x(40,5) = 4 
x(41,5) = 6 
x(42,4) = 8 
x(43,5) = 1 
x(44,8) = 8 
x(45,7) = 5 
x(46,1) = 7 
x(47,8) = 9 
x(48,6) = 0 
x(49,6) = 5 
x(50,9) = 9 
x(51,2) = 1 
x(52,2) = 3 
x(53,7) = 3 
x(54,3) = 3 
x(55,2) = 3 
x(56,10) = 8 
x(57,2) = 7 
x(58,8) = 4 
x(59,7) = 9 
x(60,2) = 6 
x(61,4) = 6 
x(62,3) = 4 
x(63,7) = 8 
x(64,1) = 6 
x(65,2) = 8 
x(66,5) = 6 
x(67,8) = 5 
x(68,10) = 5 
x(69,10) = 1 
x(70,4) = 8 
x(71,9) = 8 
x(72,3) = 4 
x(73,4) = 2 
x(74,2) = 5 
x(75,9) = 4 
x(76,8) = 5 
x(77,9) = 4 
x(78,1) = 8 
x(79,4) = 3 
x(80,7) = 2 
x(81,9) = 2 
x(82,10) = 1 
x(83,8) = 3 
x(84,5) = 8 
x(85,7) = 6 
x(86,5) = 5 
x(87,4) = 5 
x(88,10) = 1 
x(89,3) = 3 
x(90,7) = 7 
x(91,4) = 0 
x(92,1) = 4 
x(93,3) = 7 
x(94,8) = 0 
x(95,2) = 4 
x(96,10) = 0 
x(97,8) = 3 
x(98,4) = 1 
x(99,3) = 6 
x(100,3) = 4 
