x(1,66) = 0 
x(2,191) = 7 
x(3,231) = 4 
x(4,142) = 9 
x(5,273) = 3 
x(6,265) = 2 
x(7,258) = 9 
x(8,131) = 6 
x(9,28) = 0 
x(10,158) = 4 
x(11,238) = 9 
x(12,156) = 8 
x(13,273) = 9 
x(14,271) = 4 
x(15,191) = 9 
x(16,56) = 5 
x(17,81) = 4 
x(18,82) = 9 
x(19,47) = 4 
x(20,93) = 3 
x(21,214) = 8 
x(22,141) = 4 
x(23,49) = 2 
x(24,2) = 0 
x(25,41) = 3 
x(26,101) = 8 
x(27,262) = 9 
x(28,64) = 9 
x(29,109) = 5 
x(30,35) = 8 
x(31,110) = 9 
x(32,28) = 9 
x(33,156) = 8 
x(34,25) = 1 
x(35,186) = 8 
x(36,240) = 9 
x(37,136) = 9 
x(38,257) = 7 
x(39,203) = 9 
x(40,179) = 5 
x(41,293) = 4 
x(42,17) = 4 
x(43,177) = 1 
x(44,41) = 4 
x(45,103) = 9 
x(46,297) = 9 
x(47,119) = 9 
x(48,170) = 9 
x(49,143) = 6 
x(50,148) = 1 
x(51,253) = 8 
x(52,265) = 9 
x(53,264) = 5 
x(54,34) = 3 
x(55,48) = 3 
x(56,228) = 2 
x(57,250) = 0 
x(58,33) = 8 
x(59,37) = 9 
x(60,269) = 5 
x(61,177) = 9 
x(62,288) = 8 
x(63,113) = 6 
x(64,13) = 9 
x(65,210) = 5 
x(66,6) = 9 
x(67,293) = 7 
x(68,285) = 1 
x(69,150) = 5 
x(70,270) = 1 
x(71,160) = 5 
x(72,276) = 9 
x(73,209) = 4 
x(74,48) = 0 
x(75,22) = 4 
x(76,299) = 5 
x(77,273) = 6 
x(78,222) = 9 
x(79,156) = 4 
x(80,263) = 6 
x(81,80) = 9 
x(82,43) = 9 
x(83,42) = 5 
x(84,276) = 8 
x(85,144) = 4 
x(86,173) = 6 
x(87,56) = 9 
x(88,8) = 4 
x(89,275) = 9 
x(90,199) = 3 
x(91,32) = 6 
x(92,91) = 7 
x(93,60) = 8 
x(94,143) = 6 
x(95,281) = 9 
x(96,144) = 9 
x(97,10) = 0 
x(98,59) = 4 
x(99,260) = 9 
x(100,278) = 7 
x(101,39) = 2 
x(102,86) = 3 
x(103,166) = 2 
x(104,84) = 8 
x(105,235) = 9 
x(106,156) = 0 
x(107,128) = 4 
x(108,160) = 7 
x(109,211) = 0 
x(110,265) = 9 
x(111,92) = 9 
x(112,99) = 9 
x(113,244) = 6 
x(114,287) = 7 
x(115,189) = 9 
x(116,99) = 8 
x(117,6) = 6 
x(118,9) = 6 
x(119,176) = 3 
x(120,25) = 9 
x(121,174) = 0 
x(122,95) = 8 
x(123,89) = 3 
x(124,104) = 9 
x(125,20) = 8 
x(126,83) = 8 
x(127,97) = 5 
x(128,111) = 6 
x(129,123) = 1 
x(130,129) = 7 
x(131,165) = 7 
x(132,131) = 8 
x(133,233) = 2 
x(134,200) = 6 
x(135,95) = 4 
x(136,170) = 6 
x(137,140) = 9 
x(138,82) = 5 
x(139,204) = 1 
x(140,8) = 5 
